#An estimate of relative contributions of transcriptional and translational regulation by absolute protein expression profiling													
#Peng Lu, Christine Vogel, Rong Wang, Xin Yao, Edward M. Marcotte													
#Supplemental Dataset S1.  APEX yeast protein abundances for rich and minimal media, with comparisons to other datasets													
#													
#Other protein and mRNA datasets are from the following sources:													
#Name	Type	Reference 											
#SAGE	mRNA	Velculescu, Cell 1997											
#HDA	mRNA	Holstege, Cell 1998											
#Wang	mRNA	Wang, PNAS 2002											
#GFP-YPD	protein	Newman, Nature 2006											
#& GFP-YMD													
#Western	protein	Ghaemmaghami, Nature 2003											
#2Dgel	protein	Futcher, Mol Cell Biol 1999											
#													
#Annotation and APEX normalization terms								YPD			YMD		
#YORF	Name	NCBI gi	NCBI gi2	SGD ID	ORF status	# potential tryptic peptides with up to 2 missed cleavages, <7.5 KDa, >3 aa long	O_i (Integrated probability of peptide observations)	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX	n_i (# observed peptides)	p_i (probability of correct protein identification)	APEX
orf	name	ncbi.gi	ncbi.gi2	sgd	orf.status	num.tryptic.peptides	o.i	n.i.ypd	p.i.ypd	apex.ypd	n.i.ymd	p.i.ymd	apex.ymd
YER093C-A	YER093C-A	6320940	NA	S000002960	ORF|Uncharacterized	48	10.86	NA	NA	NA	NA	NA	NA
YER094C	PUP3	6320941	NA	S000000896	ORF|Verified	51	12.86	6	1	43380	NA	NA	NA
YER095W	RAD51	6320942	NA	S000000897	ORF|Verified	96	23.86	NA	NA	NA	NA	NA	NA
YER096W	SHC1	6320943	NA	S000000898	ORF|Verified	137	39.01	1	0.53	1263	NA	NA	NA
YER097W	YER097W	6320944	NA	S000000899	ORF|Dubious	49	14.52	NA	NA	NA	NA	NA	NA
YER098W	UBP9	6320945	NA	S000000900	ORF|Verified	255	51.69	NA	NA	NA	NA	NA	NA
YER099C	PRS2	6320946	NA	S000000901	ORF|Verified	86	22.11	NA	NA	NA	13	0.21	10124
YER100W	UBC6	6320947	NA	S000000902	ORF|Verified	69	15.56	NA	NA	NA	NA	NA	NA
YER101C	AST2	6320948	NA	S000000903	ORF|Verified	139	36.67	NA	NA	NA	NA	NA	NA
YER102W	RPS8B	6320949	NA	S000000904	ORF|Verified	103	16.51	NA	NA	NA	NA	NA	NA
YER103W	SSA4	6320950	NA	S000000905	ORF|Verified	208	57.32	NA	NA	NA	NA	NA	NA
YER104W	RTT105	6320951	NA	S000000906	ORF|Verified	76	18.14	NA	NA	NA	NA	NA	NA
YER105C	NUP157	6320952	NA	S000000907	ORF|Verified	407	110.8	NA	NA	NA	NA	NA	NA
YER106W	MAM1	6320953	NA	S000000908	ORF|Verified	139	31.39	NA	NA	NA	NA	NA	NA
YER107C	GLE2	6320954	NA	S000000909	ORF|Verified	98	22.7	NA	NA	NA	NA	NA	NA
YER109C	FLO8	6320955	NA	S000000911	ORF|Verified	193	47.11	NA	NA	NA	NA	NA	NA
YER110C	KAP123	6320956	NA	S000000912	ORF|Verified	241	67.71	4	1	5493	1	0.45	545
YER111C	SWI4	6320957	NA	S000000913	ORF|Verified	305	76.03	NA	NA	NA	NA	NA	NA
YER112W	LSM4	6320958	NA	S000000914	ORF|Verified	51	11.16	NA	NA	NA	6	0.78	34385
YER113C	YER113C	6320959	NA	S000000915	ORF|Uncharacterized	165	37.19	NA	NA	NA	NA	NA	NA
YER114C	BOI2	6320960	NA	S000000916	ORF|Verified	364	87.54	NA	NA	NA	NA	NA	NA
YER115C	SPR6	6320961	NA	S000000917	ORF|Verified	62	12.39	NA	NA	NA	NA	NA	NA
YER116C	SLX8	6320962	NA	S000000918	ORF|Verified	70	12.09	NA	NA	NA	NA	NA	NA
YER117W	RPL23B	6320963	NA	S000000919	ORF|Verified	52	13.84	NA	NA	NA	NA	NA	NA
YER118C	SHO1	6320964	NA	S000000920	ORF|Verified	61	10.65	NA	NA	NA	NA	NA	NA
YER119C	YER119C	6320965	NA	S000000921	ORF|Verified	79	15.22	NA	NA	NA	NA	NA	NA
YER119C-A	YER119C-A	6320967	NA	S000002961	ORF|Dubious	36	7.05	NA	NA	NA	NA	NA	NA
YER120W	SCS2	6320966	NA	S000000922	ORF|Verified	56	19.44	NA	NA	NA	NA	NA	NA
YER121W	YER121W	6320968	NA	S000000923	ORF|Dubious	25	5.69	NA	NA	NA	NA	NA	NA
YER122C	GLO3	6320969	NA	S000000924	ORF|Verified	177	46.56	NA	NA	NA	NA	NA	NA
YER123W	YCK3	7276233	NA	S000000925	ORF|Verified	184	46.83	NA	NA	NA	1	0.27	473
YER124C	DSE1	6320971	NA	S000000926	ORF|Verified	141	32.58	NA	NA	NA	NA	NA	NA
YER125W	RSP5	6320972	NA	S000000927	ORF|Verified	250	74.6	NA	NA	NA	NA	NA	NA
YER126C	NSA2	6320973	NA	S000000928	ORF|Verified	136	25.78	NA	NA	NA	NA	NA	NA
YER127W	LCP5	6320974	NA	S000000929	ORF|Verified	154	27.67	NA	NA	NA	NA	NA	NA
YER128W	YER128W	6320975	NA	S000000930	ORF|Uncharacterized	77	15.35	NA	NA	NA	NA	NA	NA
YER129W	PAK1	6320976	NA	S000000931	ORF|Verified	409	91.21	NA	NA	NA	NA	NA	NA
YER130C	YER130C	6320977	NA	S000000932	ORF|Uncharacterized	134	29.87	NA	NA	NA	NA	NA	NA
YER131W	RPS26B	6320978	NA	S000000933	ORF|Verified	73	10.51	NA	NA	NA	NA	NA	NA
YER132C	PMD1	6320979	NA	S000000934	ORF|Verified	493	143.39	NA	NA	NA	1	0.22	126
YER133W	GLC7	6320980	NA	S000000935	ORF|Verified	89	20.49	NA	NA	NA	NA	NA	NA
YER134C	YER134C	6320981	NA	S000000936	ORF|Uncharacterized	66	19.05	NA	NA	NA	NA	NA	NA
YER135C	YER135C	6320982	NA	S000000937	ORF|Dubious	48	9.66	NA	NA	NA	NA	NA	NA
YER136W	GDI1	6320983	NA	S000000938	ORF|Verified	142	37.62	4	0.96	9491	8	0.98	17088
YER137C	YER137C	6320984	NA	S000000939	ORF|Uncharacterized	63	13.43	NA	NA	NA	NA	NA	NA
YER137C-A	YER137C-A	7839167	NA	S000007402	transposable_element_gene	92	21.25	NA	NA	NA	NA	NA	NA
YER138C	YER138C	6320985	NA	S000000940	transposable_element_gene	507	124.38	NA	NA	NA	NA	NA	NA
YER138W-A	YER138W-A	6320986	NA	S000007239	ORF|Uncharacterized	11	4.36	NA	NA	NA	NA	NA	NA
YER139C	YER139C	6320987	NA	S000000941	ORF|Uncharacterized	80	25.04	NA	NA	NA	1	0.35	1146
YER140W	YER140W	6320988	NA	S000000942	ORF|Uncharacterized	215	42.44	NA	NA	NA	NA	NA	NA
YER141W	COX15	6320989	NA	S000000943	ORF|Verified	154	36.95	3	0.85	6417	NA	NA	NA
YER142C	MAG1	6320990	NA	S000000944	ORF|Verified	127	35.08	NA	NA	NA	NA	NA	NA
YER143W	DDI1	6320991	NA	S000000945	ORF|Verified	116	34.21	NA	NA	NA	NA	NA	NA
YER144C	UBP5	6320992	NA	S000000946	ORF|Verified	230	54.6	NA	NA	NA	NA	NA	NA
YER145C	FTR1	6320993	NA	S000000947	ORF|Verified	98	20	NA	NA	NA	NA	NA	NA
YER146W	LSM5	6320994	NA	S000000948	ORF|Verified	23	7.58	NA	NA	NA	NA	NA	NA
YER147C	SCC4	6320995	NA	S000000949	ORF|Verified	204	51.17	2	0.48	1744	NA	NA	NA
YER148W	SPT15	6320996	NA	S000000950	ORF|Verified	96	23.64	NA	NA	NA	NA	NA	NA
YER149C	PEA2	6320997	NA	S000000951	ORF|Verified	149	44.03	NA	NA	NA	NA	NA	NA
YER150W	SPI1	6320998	NA	S000000952	ORF|Verified	2	0.8	NA	NA	NA	NA	NA	NA
YER151C	UBP3	6320999	NA	S000000953	ORF|Verified	277	69.43	NA	NA	NA	NA	NA	NA
YER152C	YER152C	6321000	NA	S000000954	ORF|Uncharacterized	117	29.84	NA	NA	NA	NA	NA	NA
YER153C	PET122	6321001	NA	S000000955	ORF|Verified	85	28.67	NA	NA	NA	NA	NA	NA
YER154W	OXA1	6321002	NA	S000000956	ORF|Verified	97	19.42	NA	NA	NA	NA	NA	NA
YER155C	BEM2	6321003	NA	S000000957	ORF|Verified	681	188.63	9	0.95	4214	2	0.51	443
YER156C	YER156C	6321004	NA	S000000958	ORF|Uncharacterized	127	33.61	1	0.28	775	NA	NA	NA
YER157W	SEC34	6321005	NA	S000000959	ORF|Verified	270	78.19	NA	NA	NA	1	0.21	220
YER158C	YER158C	6321006	NA	S000000960	ORF|Uncharacterized	185	51.11	1	0.54	982	NA	NA	NA
YER159C	BUR6	6321007	NA	S000000961	ORF|Verified	42	10.94	NA	NA	NA	NA	NA	NA
YER159C-A	YER159C-A	7839168	NA	S000007403	transposable_element_gene	92	22.35	NA	NA	NA	NA	NA	NA
YER160C	YER160C	6321008	NA	S000000962	transposable_element_gene	514	125.47	NA	NA	NA	NA	NA	NA
YER161C	SPT2	6321009	NA	S000000963	ORF|Verified	170	31.69	NA	NA	NA	NA	NA	NA
YER162C	RAD4	6321010	NA	S000000964	ORF|Verified	309	61.77	NA	NA	NA	NA	NA	NA
YER163C	YER163C	6321011	NA	S000000965	ORF|Uncharacterized	55	15.51	NA	NA	NA	NA	NA	NA
YER164W	CHD1	6321012	NA	S000000966	ORF|Verified	579	144.87	1	0.54	347	2	0.45	509
YER165W	PAB1	6321013	NA	S000000967	ORF|Verified	187	49.63	19	1	35595	10	1	16521
YER166W	DNF1	6321014	NA	S000000968	ORF|Verified	465	110.78	NA	NA	NA	2	0.57	844
YER167W	BCK2	6321015	NA	S000000969	ORF|Verified	216	48.73	NA	NA	NA	1	0.23	387
YER168C	CCA1	6321016	NA	S000000970	ORF|Verified	180	50.82	NA	NA	NA	1	0.28	452
YER169W	RPH1	6321017	NA	S000000971	ORF|Verified	264	69.78	6	0.6	4797	NA	NA	NA
YER170W	ADK2	6321018	NA	S000000972	ORF|Verified	79	28.35	2	0.28	1837	NA	NA	NA
YER171W	RAD3	6321019	NA	S000000973	ORF|Verified	259	63.71	NA	NA	NA	NA	NA	NA
YER172C	BRR2	6321020	NA	S000000974	ORF|Verified	641	175.49	12	0.98	6231	NA	NA	NA
YER173W	RAD24	6321021	NA	S000000975	ORF|Verified	211	51.36	NA	NA	NA	2	0.23	734
YER174C	GRX4	6321022	NA	S000000976	ORF|Verified	70	20.19	NA	NA	NA	NA	NA	NA
YER175C	TMT1	6321023	NA	S000000977	ORF|Verified	100	25.83	NA	NA	NA	NA	NA	NA
YER176W	ECM32	6321024	NA	S000000978	ORF|Verified	457	100.35	NA	NA	NA	NA	NA	NA
YER177W	BMH1	6321025	NA	S000000979	ORF|Verified	75	22.01	NA	NA	NA	35	1	130388
YER178W	PDA1	6321026	NA	S000000980	ORF|Verified	146	40.14	7	1	16214	NA	NA	NA
YER179W	DMC1	6321027	NA	S000000981	ORF|Verified	103	23.76	NA	NA	NA	NA	NA	NA
YER180C	ISC10	6321028	NA	S000000982	ORF|Verified	91	20.33	NA	NA	NA	NA	NA	NA
YER181C	YER181C	6321029	NA	S000000983	ORF|Dubious	18	3.17	NA	NA	NA	NA	NA	NA
YER182W	YER182W	6321030	NA	S000000984	ORF|Uncharacterized	85	24.33	NA	NA	NA	NA	NA	NA
YER183C	FAU1	6321031	NA	S000000985	ORF|Verified	64	16.11	NA	NA	NA	NA	NA	NA
YER184C	YER184C	6321032	NA	S000000986	ORF|Uncharacterized	257	60.05	NA	NA	NA	NA	NA	NA
YER185W	YER185W	6321033	NA	S000000987	ORF|Uncharacterized	66	14.41	1	0.43	2774	NA	NA	NA
YER186C	YER186C	6321034	NA	S000000988	ORF|Uncharacterized	117	32.27	NA	NA	NA	NA	NA	NA
YER187W	YER187W	6321035	NA	S000000989	ORF|Uncharacterized	20	4.57	1	0.21	4272	NA	NA	NA
YER188W	YER188W	6321036	NA	S000000990	ORF|Dubious	32	7.54	NA	NA	NA	NA	NA	NA
YER189W	YER189W	6321037	NA	S000000991	ORF|Uncharacterized	46	8.66	NA	NA	NA	NA	NA	NA
YER190W	YRF1-2	6321038	NA	S000000992	ORF|Verified	556	135.69	NA	NA	NA	NA	NA	NA
YFL001W	DEG1	14318522	NA	S000001895	ORF|Verified	175	40.04	NA	NA	NA	NA	NA	NA
YFL002C	SPB4	14318521	NA	S000001894	ORF|Verified	243	58.04	NA	NA	NA	NA	NA	NA
YFL002W-A	YFL002W-A	14318520	NA	S000002962	transposable_element_gene	530	136.1	NA	NA	NA	NA	NA	NA
YFL002W-B	YFL002W-B	7839169	NA	S000007404	transposable_element_gene	95	21.72	NA	NA	NA	NA	NA	NA
YFL003C	MSH4	14318519	NA	S000001891	ORF|Verified	294	76.97	NA	NA	NA	NA	NA	NA
YFL004W	VTC2	14318518	6321108	S000001890	ORF|Verified	310	90.56	NA	NA	NA	4	0.63	2282
YFL005W	SEC4	14318517	NA	S000001889	ORF|Verified	74	23.06	NA	NA	NA	NA	NA	NA
YFL006W	YFL006W	14318516	6321106	SGDID	ORF-Status	82	23.64	1	0.4	1573	NA	NA	NA
YFL007W	BLM3	14318515	6321105	S000001887	ORF|Verified	497	137.35	NA	NA	NA	1	0.29	173
YFL008W	SMC1	14318514	NA	S000001886	ORF|Verified	517	130.53	NA	NA	NA	NA	NA	NA
YFL009W	CDC4	14318513	NA	S000001885	ORF|Verified	209	58.63	NA	NA	NA	NA	NA	NA
YFL010C	WWM1	18702303	NA	S000001884	ORF|Verified	23	6.83	NA	NA	NA	NA	NA	NA
YFL010W-A	AUA1	14318511	NA	S000001955	ORF|Verified	47	8.3	NA	NA	NA	NA	NA	NA
YFL011W	HXT10	14318510	6321100	S000001883	ORF|Verified	118	20.92	1	0.59	2622	3	0.61	7173
YFL012W	YFL012W	14318509	NA	S000001882	ORF|Uncharacterized	59	13.51	NA	NA	NA	NA	NA	NA
YFL012W-A	YFL012W-A	21450620	NA	S000002964	ORF|Dubious	36	9.41	NA	NA	NA	NA	NA	NA
YFL013C	IES1	14318508	6321098	S000001881	ORF|Verified	241	66.93	2	0.45	1250	NA	NA	NA
YFL014W	HSP12	14318506	6321096	S000001880	ORF|Verified	44	13.17	NA	NA	NA	46	1	286393
YFL015C	YFL015C	14318505	NA	S000001879	ORF|Dubious	34	3.82	NA	NA	NA	NA	NA	NA
YFL016C	MDJ1	14318504	6321094	S000001878	ORF|Verified	183	49.75	2	0.46	1719	NA	NA	NA
YFL017C	GNA1	14318503	NA	S000001877	ORF|Verified	49	15.56	NA	NA	NA	NA	NA	NA
YFL017W-A	SMX2	14318502	NA	S000002965	ORF|Verified	21	5.47	NA	NA	NA	NA	NA	NA
YFL018C	LPD1	14318501	NA	S000001876	ORF|Verified	174	48.46	NA	NA	NA	NA	NA	NA
YFL019C	YFL019C	14318500	NA	S000001875	ORF|Dubious	34	9.95	NA	NA	NA	NA	NA	NA
YFL020C	PAU5	14318499	NA	S000001874	ORF|Verified	12	4.3	NA	NA	NA	NA	NA	NA
YFL021W	GAT1	14318498	NA	S000001873	ORF|Verified	93	24.13	NA	NA	NA	NA	NA	NA
YFL022C	FRS2	14318497	6321087	S000001872	ORF|Verified	154	45.4	3	0.93	5714	NA	NA	NA
YFL023W	FYV11	14318496	NA	S000001871	ORF|Verified	286	70.92	NA	NA	NA	NA	NA	NA
YFL024C	EPL1	14318495	6321085	S000001870	ORF|Verified	332	85.43	1	0.21	229	NA	NA	NA
YFL025C	BST1	14318494	NA	S000001869	ORF|Verified	234	56.36	NA	NA	NA	NA	NA	NA
YFL026W	STE2	14318493	6321083	S000001868	ORF|Verified	78	25.95	1	0.55	1971	NA	NA	NA
YFL027C	GYP8	16740526	NA	S000001867	ORF|Verified	173	41.98	NA	NA	NA	NA	NA	NA
YFL028C	CAF16	14318491	NA	S000001866	ORF|Verified	99	28.8	NA	NA	NA	NA	NA	NA
YFL029C	CAK1	14318490	NA	S000001865	ORF|Verified	109	30.47	NA	NA	NA	NA	NA	NA
YFL030W	YFL030W	14318489	NA	S000001864	ORF|Verified	103	29.73	NA	NA	NA	NA	NA	NA
YFL031W	HAC1	14318488	NA	S000001863	ORF|Verified	65	10.93	NA	NA	NA	NA	NA	NA
YFL032W	YFL032W	14318487	NA	S000001862	ORF|Dubious	27	3.28	NA	NA	NA	NA	NA	NA
YFL033C	RIM15	14318486	6321076	S000001861	ORF|Verified	461	130.71	1	0.25	178	NA	NA	NA
YFL034C-A	RPL22B	14318484	NA	S000006436	ORF|Verified	47	8.25	NA	NA	NA	NA	NA	NA
YFL034C-B	MOB2	14318483	NA	S000001859	ORF|Verified	82	22.43	NA	NA	NA	NA	NA	NA
YFL034W	YFL034W	14318485	NA	S000001860	ORF|Uncharacterized	306	76.75	NA	NA	NA	NA	NA	NA
YFL036W	RPO41	14318482	6321072	S000001858	ORF|Verified	470	125.61	1	0.37	274	NA	NA	NA
YFL037W	TUB2	14318481	6321071	S000001857	ORF|Verified	86	24	7	1	27118	20	1	68330
YFL038C	YPT1	14318480	NA	S000001856	ORF|Verified	70	21.21	NA	NA	NA	NA	NA	NA
YFL039C	ACT1	14318479	6321069	S000001855	ORF|Verified	97	23.91	106	1	412196	112	1	384087
YFL040W	YFL040W	14318478	NA	S000001854	ORF|Uncharacterized	112	24.83	NA	NA	NA	NA	NA	NA
YFL041W	FET5	14318477	NA	S000001853	ORF|Verified	106	31.56	NA	NA	NA	NA	NA	NA
YFL042C	YFL042C	14318476	6321066	S000001852	ORF|Uncharacterized	198	59.13	2	0.81	2547	2	0.8	2219
YFL044C	YFL044C	14318475	NA	S000001850	ORF|Uncharacterized	78	18.84	NA	NA	NA	NA	NA	NA
YFL045C	SEC53	14318474	6321063	S000001849	ORF|Verified	85	27.42	7	0.71	16853	4	1	11961
YFL046W	YFL046W	14318473	NA	S000001848	ORF|Uncharacterized	80	22.21	NA	NA	NA	NA	NA	NA
YFL047W	RGD2	16198342	6321061	S000001847	ORF|Verified	230	61.36	NA	NA	NA	4	0.82	4383
YFL048C	EMP47	14318471	6321060	S000001846	ORF|Verified	142	39.04	1	0.26	619	NA	NA	NA
YFL049W	YFL049W	14318470	NA	S000001845	ORF|Uncharacterized	198	55.66	NA	NA	NA	NA	NA	NA
YFL050C	ALR2	14318469	6321058	S000001844	ORF|Verified	265	64.18	1	0.68	985	NA	NA	NA
YFL051C	YFL051C	14318468	NA	S000001843	ORF|Uncharacterized	23	4.2	NA	NA	NA	NA	NA	NA
YFL052W	YFL052W	14318467	NA	S000001842	ORF|Uncharacterized	142	35.08	NA	NA	NA	NA	NA	NA
YFL053W	DAK2	14318466	6321055	S000001841	ORF|Verified	155	44.58	NA	NA	NA	1	0.39	717
YFL054C	YFL054C	14318465	NA	S000001840	ORF|Uncharacterized	163	38.44	NA	NA	NA	NA	NA	NA
YFL055W	AGP3	14318464	6321053	S000001839	ORF|Uncharacterized	95	22.33	NA	NA	NA	1	0.22	808
YFL056C	AAD6	14318463	NA	S000001838	ORF|Verified	59	13.59	NA	NA	NA	NA	NA	NA
YFL057C	YFL057C	14318462	NA	S000001837	ORF|Verified	52	15.94	NA	NA	NA	NA	NA	NA
YFL058W	THI5	14318461	6321050	S000001836	ORF|Verified	115	24.38	NA	NA	NA	3	0.57	5751
YFL059W	SNZ3	14318460	NA	S000001835	ORF|Verified	93	21.01	NA	NA	NA	NA	NA	NA
YFL060C	SNO3	14318459	NA	S000001834	ORF|Verified	69	15.22	NA	NA	NA	NA	NA	NA
YFL061W	YFL061W	14318458	NA	S000001833	ORF|Uncharacterized	49	14.46	NA	NA	NA	NA	NA	NA
YFL062W	COS4	14318457	NA	S000001832	ORF|Verified	136	29.55	NA	NA	NA	NA	NA	NA
YFL063W	YFL063W	14318456	NA	S000001831	ORF|Dubious	25	5.32	NA	NA	NA	NA	NA	NA
YFL064C	YFL064C	14318455	NA	S000001830	ORF|Uncharacterized	68	15.06	NA	NA	NA	NA	NA	NA
YFL065C	YFL065C	14318454	NA	S000001829	ORF|Uncharacterized	41	7.76	NA	NA	NA	NA	NA	NA
YFL066C	YFL066C	14318453	NA	S000001828	ORF|Uncharacterized	133	35.48	NA	NA	NA	NA	NA	NA
YFL067W	YFL067W	14318452	NA	S000001827	ORF|Uncharacterized	25	9.19	NA	NA	NA	NA	NA	NA
YFL068W	YFL068W	14318451	NA	S000001826	ORF|Uncharacterized	43	12.08	NA	NA	NA	NA	NA	NA
YFR001W	LOC1	14318523	NA	S000001897	ORF|Verified	144	18.68	NA	NA	NA	NA	NA	NA
YFR002W	NIC96	14318524	6321114	S000001898	ORF|Verified	278	74.66	2	0.49	1220	4	0.66	2899
YFR003C	YFR003C	14318525	NA	S000001899	ORF|Verified	59	12.44	NA	NA	NA	NA	NA	NA
YFR004W	RPN11	14318526	NA	S000001900	ORF|Verified	101	25.12	NA	NA	NA	NA	NA	NA
YFR005C	SAD1	14318527	NA	S000001901	ORF|Verified	143	40.33	NA	NA	NA	NA	NA	NA
YFR006W	YFR006W	14318528	6321118	S000001902	ORF|Uncharacterized	184	44.27	1	0.28	588	NA	NA	NA
YFR007W	YFR007W	14318529	NA	S000001903	ORF|Uncharacterized	114	33.37	NA	NA	NA	NA	NA	NA
YFR008W	YFR008W	14318530	NA	S000001904	ORF|Verified	73	18.52	NA	NA	NA	NA	NA	NA
YFR009W	GCN20	14318531	NA	S000001905	ORF|Verified	263	68.44	NA	NA	NA	NA	NA	NA
YFR010W	UBP6	14318532	NA	S000001906	ORF|Verified	184	47.63	NA	NA	NA	NA	NA	NA
YFR011C	YFR011C	14318533	NA	S000001907	ORF|Uncharacterized	65	15.82	NA	NA	NA	NA	NA	NA
YFR012W	YFR012W	14318534	NA	S000001908	ORF|Uncharacterized	30	9.07	NA	NA	NA	NA	NA	NA
YFR012W-A	YFR012W-A	13129167	NA	S000007606	ORF|Uncharacterized	15	3.03	NA	NA	NA	NA	NA	NA
YFR013W	IOC3	14318535	6321125	S000001909	ORF|Verified	274	58.13	1	0.3	480	2	0.22	621
YFR014C	CMK1	14318536	NA	S000001910	ORF|Verified	165	45.13	NA	NA	NA	NA	NA	NA
YFR015C	GSY1	14318537	NA	S000001911	ORF|Verified	196	49.1	NA	NA	NA	NA	NA	NA
YFR016C	YFR016C	14318538	6321128	S000001912	ORF|Uncharacterized	412	122.81	12	1	9085	21	0.74	10375
YFR017C	YFR017C	14318539	NA	S000001913	ORF|Uncharacterized	48	13.21	NA	NA	NA	NA	NA	NA
YFR018C	YFR018C	14318540	NA	S000001914	ORF|Uncharacterized	77	19.16	NA	NA	NA	NA	NA	NA
YFR019W	FAB1	14318541	6321131	S000001915	ORF|Verified	709	179.62	1	0.71	368	1	0.23	105
YFR020W	YFR020W	14318542	NA	S000001916	ORF|Dubious	30	7.56	NA	NA	NA	NA	NA	NA
YFR021W	AUT10	16740527	NA	S000001917	ORF|Verified	128	30.78	NA	NA	NA	NA	NA	NA
YFR022W	YFR022W	14318544	NA	S000001918	ORF|Verified	186	42.36	NA	NA	NA	NA	NA	NA
YFR023W	PES4	14318545	6321135	S000001919	ORF|Verified	255	64.74	4	0.86	4940	NA	NA	NA
YFR024C	YFR024C	14318546	NA	SGDID	ORF-Status	116	30.41	NA	NA	NA	NA	NA	NA
YFR024C-A	LSB3	15530184	6321137	S000002968	ORF|Verified	139	37.64	1	0.84	2075	NA	NA	NA
YFR025C	HIS2	14318548	6321138	S000001921	ORF|Verified	74	19.4	3	0.51	7333	NA	NA	NA
YFR026C	YFR026C	14318549	NA	S000001922	ORF|Uncharacterized	36	7.36	NA	NA	NA	NA	NA	NA
YFR027W	ECO1	14318550	NA	S000001923	ORF|Verified	119	30.5	NA	NA	NA	NA	NA	NA
YFR028C	CDC14	14318551	NA	S000001924	ORF|Verified	150	37.7	NA	NA	NA	NA	NA	NA
YFR029W	PTR3	14318552	NA	S000001925	ORF|Verified	205	56.45	NA	NA	NA	NA	NA	NA
YFR030W	MET10	14318553	6321143	S000001926	ORF|Verified	275	82.7	3	0.77	2597	28	1	27762
YFR031C	SMC2	14318554	6321144	S000001927	ORF|Verified	466	118.8	2	0.64	1002	NA	NA	NA
YFR031C-A	RPL2A	14318555	NA	S000002104	ORF|Verified	115	24.75	NA	NA	NA	NA	NA	NA
YFR032C	YFR032C	14318556	NA	S000001928	ORF|Uncharacterized	73	15.28	NA	NA	NA	NA	NA	NA
YFR032C-A	RPL29	14318557	6321147	S000006437	ORF|Verified	40	7.53	NA	NA	NA	3	0.84	27441
YFR033C	QCR6	14318558	NA	S000001929	ORF|Verified	30	6.74	NA	NA	NA	NA	NA	NA
YFR034C	PHO4	14318559	NA	S000001930	ORF|Verified	84	22.57	NA	NA	NA	NA	NA	NA
YFR035C	YFR035C	14318560	NA	S000001931	ORF|Uncharacterized	31	6.28	NA	NA	NA	NA	NA	NA
YFR036W	CDC26	14318561	NA	S000001932	ORF|Verified	25	5.9	NA	NA	NA	NA	NA	NA
YFR037C	RSC8	14318562	6321152	S000001933	ORF|Verified	193	55.7	1	0.29	484	3	0.56	2473
YFR038W	YFR038W	14318563	NA	S000001934	ORF|Uncharacterized	264	62.8	NA	NA	NA	NA	NA	NA
YFR039C	YFR039C	14318564	6321154	S000001935	ORF|Uncharacterized	135	40.31	1	0.55	1269	NA	NA	NA
YFR040W	SAP155	14318565	6321155	S000001936	ORF|Verified	223	63.62	2	0.79	2309	NA	NA	NA
YFR041C	YFR041C	14318566	NA	S000001937	ORF|Uncharacterized	125	23.13	NA	NA	NA	NA	NA	NA
YFR042W	YFR042W	14318567	NA	S000001938	ORF|Uncharacterized	55	11.11	NA	NA	NA	NA	NA	NA
YFR043C	YFR043C	14318568	NA	S000001939	ORF|Uncharacterized	54	14.34	NA	NA	NA	NA	NA	NA
YFR044C	YFR044C	14318569	6321159	S000001940	ORF|Uncharacterized	135	36.71	10	1	25328	9	1	20102
YFR045W	YFR045W	14318570	NA	S000001941	ORF|Uncharacterized	68	17.54	NA	NA	NA	NA	NA	NA
YFR046C	YFR046C	14318571	6321161	S000001942	ORF|Verified	111	29.34	2	0.55	3486	NA	NA	NA
YFR047C	BNA6	19705600	NA	S000001943	ORF|Verified	86	18.3	NA	NA	NA	NA	NA	NA
YFR048W	YFR048W	14318573	NA	S000001944	ORF|Verified	218	54.83	NA	NA	NA	NA	NA	NA
YFR049W	YMR31	14318574	NA	S000001945	ORF|Verified	38	11.1	NA	NA	NA	NA	NA	NA
YFR050C	PRE4	14318575	NA	S000001946	ORF|Verified	66	16.75	NA	NA	NA	NA	NA	NA
YFR051C	RET2	14318576	NA	S000001947	ORF|Verified	123	28.73	NA	NA	NA	NA	NA	NA
YFR052W	RPN12	14318577	NA	S000001948	ORF|Verified	80	25.96	NA	NA	NA	NA	NA	NA
YFR053C	HXK1	14318578	6321168	S000001949	ORF|Verified	154	44.29	NA	NA	NA	5	0.99	9164
YFR054C	YFR054C	14318579	NA	S000001950	ORF|Dubious	21	8.11	NA	NA	NA	NA	NA	NA
YFR055W	YFR055W	14318580	NA	S000001952	ORF|Uncharacterized	92	22.88	NA	NA	NA	NA	NA	NA
YFR056C	YFR056C	14318581	NA	S000001951	ORF|Dubious	21	5.25	NA	NA	NA	NA	NA	NA
YFR057W	YFR057W	14318582	NA	S000001953	ORF|Uncharacterized	45	13.54	NA	NA	NA	NA	NA	NA
YGL001C	ERG26	6321437	NA	S000002969	ORF|Verified	96	23.75	NA	NA	NA	NA	NA	NA
YGL002W	ERP6	6321436	NA	S000002970	ORF|Verified	73	15.94	NA	NA	NA	NA	NA	NA
YGL003C	CDH1	6321435	NA	S000002971	ORF|Verified	156	41.64	NA	NA	NA	NA	NA	NA
YGL004C	YGL004C	6321434	NA	S000002972	ORF|Uncharacterized	105	33.66	NA	NA	NA	NA	NA	NA
